FAQ_No,Category1,Category2,Category3,Category4,Category5,Question,Answer,Landing URL,Landing URL Button Name,Image info (URL)
44,웨스트나일열,웨스트나일열,,,,웨스트나일열 증상이 어떻게 되나요?,"웨스트나일열의 증상은 감염자의 약 80%에서 무증상으로 지나가요. 증상이 있는 경우(20%) 발열·두통·피로감·근육통·발진·림프절 종창 등 가벼운 독감 유사 증상이 2~7일간 나타나다 자연 회복돼요. 그러나 약 1% 미만(주로 고령자·면역저하자)에서 뇌염·수막염·급성 이완성 마비 등 심각한 신경계 합병증이 발생하며, 이 경우 치명률이 3~15%에 달할 수 있어요. 신경계 합병증 발생 후 완전히 회복되지 않고 장기 후유증이 남는 경우도 있어요.",http://해외감염병now.kr,자세히 보기,
45,웨스트나일열,웨스트나일열,,,,웨스트나일열 유행 지역은 어디인가요?,"웨스트나일열은 아프리카(사하라 이남)에서 처음 발견되었으며, 현재 미국·캐나다 등 북미, 유럽(이탈리아·그리스·루마니아 등), 중동, 아시아(이스라엘·러시아 등) 등 광범위한 지역에서 유행하고 있어요. 특히 미국에서는 1999년 뉴욕 침입 후 매년 수천 건의 신경계 합병증 사례가 보고되는 주요 모기매개감염병이 되었어요. 유행 지역 방문 시에는 모기 기피제 사용 및 긴 옷 착용 등 예방수칙을 철저히 지켜주세요.",http://해외감염병now.kr,자세히 보기,
46,웨스트나일열,웨스트나일열,,,,웨스트나일열 치료제가 있나요?,"현재 웨스트나일열에 대한 특이적 항바이러스 치료제와 인체용 백신은 없어요. 치료는 충분한 수분 섭취, 안정, 해열진통제 투여 등 대증치료 위주로 진행해요. 신경계 합병증(뇌염·수막염)이 발생한 중증의 경우 입원하여 집중 지지치료를 받아야 해요. 말(馬)을 위한 백신은 있지만 인체용은 아직 개발 중이에요. 예방이 최선이므로 유행 지역 방문 시 모기에 물리지 않도록 기피제 사용, 긴 옷 착용, 방충망 사용 등을 철저히 해 주세요.",http://해외감염병now.kr,자세히 보기,
47,예방 수칙,모기 예방,,,,모기에 물리지 않으려면 어떻게 해야 하나요?,"모기 예방의 핵심은 노출을 최소화하는 것이에요. 모기가 활발한 4~10월 야간(일몰 후~일출 전)에는 야외 활동을 자제해 주세요. 외출 시에는 밝은색 긴 소매·긴 바지를 착용하고, 피부 노출 부위에 모기 기피제를 뿌려 주세요. 실내에서는 방충망을 정비하고 에어컨이나 선풍기를 사용해 모기 접근을 줄여 주세요. 모기장을 사용하면 더욱 효과적이에요. 귀가 후에는 반드시 샤워하고 옷을 세탁해 주세요. 말라리아 위험지역이라면 보건소에서 무료 진단을 받을 수 있어요.",https://www.kdca.go.kr,자세히 보기,
48,예방 수칙,모기 예방,,,,모기 기피제를 올바르게 사용하는 방법은 무엇인가요?,"모기 기피제는 피부 노출 부위에 골고루 얇게 펴 발라 주세요. 얼굴에는 직접 뿌리지 말고 손에 덜어 눈·입·코를 피해 바르세요. 스프레이형은 실내보다 야외에서 사용하고 흡입하지 않도록 주의하세요. 기피제 사용 후 야외에서 돌아오면 비누로 깨끗이 씻어 내세요. 지속시간은 성분·농도에 따라 다르므로, 장시간 야외활동 시 3~4시간 간격으로 재도포해 주세요. 어린이에게 사용 시에는 어른이 손에 덜어 발라 주고, 아이 손이 닿는 손바닥 부위는 바르지 마세요.",https://www.kdca.go.kr,자세히 보기,
49,예방 수칙,모기 예방,,,,DEET 성분 기피제는 어린이에게 안전한가요?,"DEET 성분 기피제는 만 12세 이상의 어린이와 성인에게 사용 권장돼요. 일부 제품은 생후 2개월 이상부터 사용 가능하나, 어린이의 경우 30% 이하 저농도 제품을 사용하는 것이 좋아요. 영아(6개월 미만)에게는 사용을 피하세요. 어린이에게는 DEET 대신 이카리딘(피카리딘) 또는 IR3535 성분의 기피제가 더 안전한 대안이 될 수 있어요. 이카리딘은 생후 6개월 이상, IR3535는 생후 6개월 이상에서 사용 가능해요. 기피제 선택 전 반드시 제품 라벨의 연령 기준을 확인하고, 사용 후에는 비누로 씻어 주세요.",https://www.kdca.go.kr,자세히 보기,
50,예방 수칙,모기 예방,,,,모기는 언제 가장 활발히 활동하나요?,"국내 말라리아를 매개하는 얼룩날개모기는 주로 야간(일몰 직후~일출 직전)에 활발히 활동해요. 뎅기열·지카 바이러스를 매개하는 흰줄숲모기(Aedes albopictus)는 낮에도 활동하는 주행성이에요. 계절적으로는 모기가 4~10월에 활발하며, 기온 25~30℃, 습도가 높은 환경에서 번식과 활동이 왕성해요. 새벽~이른 아침과 저녁~밤 시간대에 야외활동을 줄이고, 그 시간대에는 반드시 기피제를 사용하고 긴 옷을 착용하세요.",https://www.kdca.go.kr,자세히 보기,
51,예방 수칙,모기 예방,,,,집 주변 모기를 줄이는 방법이 있나요?,"모기 유충은 고인 물에서 자라므로, 집 주변 고인 물을 없애는 것이 가장 효과적인 방법이에요. 화분 받침대·폐타이어·빈 그릇·물통 등에 물이 고이지 않도록 정기적으로 비워 주세요. 방충망에 찢어진 곳이 없는지 점검하고 보수해 주세요. 하수구·배수로 정비도 중요해요. 실내에는 모기향·전자 모기기 등을 사용하고, 취침 시에는 모기장을 사용하면 효과적이에요. 풀숲·수풀이 우거진 곳은 벌초 등으로 정리해 모기 서식처를 줄이는 것도 도움이 돼요.",https://www.kdca.go.kr,자세히 보기,
52,예방 수칙,모기 예방,,,,해외여행 시 모기 예방은 어떻게 해야 하나요?,"해외여행 전 방문 국가의 감염병 발생 현황을 '해외감염병 NOW'(해외감염병now.kr)에서 확인하세요. 말라리아 유행 국가를 방문할 경우 출발 4주 전 여행의학 클리닉에서 예방약을 처방받으세요. 여행 중에는 밝은색 긴 소매·긴 바지를 착용하고, 모기 기피제를 3~4시간 간격으로 재도포하세요. 숙소 내 에어컨이 없는 경우 모기장을 사용하고, 창문·문에 방충망이 없으면 기피제를 더 자주 사용하세요. 귀국 후 2주 이내 의심 증상이 나타나면 즉시 의료기관에 방문해 여행 이력을 알려주세요.",http://해외감염병now.kr,자세히 보기,
53,예방 수칙,진드기 예방,,,,진드기에 물리지 않으려면 어떻게 해야 하나요?,"야외활동 시 진드기 예방을 위해 긴 소매·긴 바지를 착용하고, 바지단을 양말이나 장화 안으로 넣어 피부 노출을 최소화하세요. 밝은색 옷을 입으면 진드기를 발견하기 쉬워요. 진드기 기피제(DEET·이카리딘 성분)를 옷과 피부 노출 부위에 발라 주세요. 풀숲·덤불·낙엽 더미에 앉거나 눕지 말고, 풀밭에 앉을 때는 돗자리를 사용하세요. 야외활동 후에는 옷을 뒤집어 진드기를 확인하고 즉시 세탁해 주세요.",https://www.kdca.go.kr,자세히 보기,
54,예방 수칙,진드기 예방,,,,야외활동 후 진드기 확인은 어떻게 하나요?,야외활동 후 귀가 즉시 샤워하며 온몸을 꼼꼼히 확인해 주세요. 진드기는 작게는 1mm 이하로 매우 작아 육안으로 찾기 어려울 수 있어요. 특히 진드기가 숨기 좋아하는 두피·귀 뒤·목·겨드랑이·사타구니·무릎 뒤·발목 등 피부 접히는 곳을 집중 점검하세요. 머리카락 속도 손가락으로 꼼꼼히 훑어보세요. 야외활동에서 입은 옷은 집 안으로 가져오기 전 잘 털고 즉시 세탁기에 돌려 주세요. 가능하면 귀가 즉시 샤워하는 것이 가장 좋아요.,https://www.kdca.go.kr,자세히 보기,
55,예방 수칙,진드기 예방,,,,진드기가 피부에 붙었을 때 어떻게 제거하나요?,"진드기가 피부에 붙었을 때는 핀셋이나 진드기 제거 전용 도구를 사용해 피부 표면에 가깝게 잡고 천천히 수직으로 당겨내세요. 당길 때 비틀거나 짓이기지 마세요. 손으로 맨손 제거, 바셀린·오일·성냥·불 사용은 진드기가 체액을 역류시켜 감염 위험을 높일 수 있어 절대 금지예요. 제거 후 물린 부위와 손을 비누로 깨끗이 씻고 소독하세요. 제거한 진드기는 버리지 말고 비닐봉지에 보관해 두면 진단에 도움이 될 수 있어요. 이후 발열 등 이상 증상이 나타나면 즉시 의료기관을 방문하세요.",https://www.kdca.go.kr,자세히 보기,
56,예방 수칙,진드기 예방,,,,진드기에 물린 후 얼마나 지나면 증상이 나타나나요?,"진드기에 물린 후 증상이 나타나는 시기는 질병마다 달라요. SFTS는 물린 후 1~2주(6~14일), 쯔쯔가무시증은 10일 이내, 라임병은 3~30일(이동성 홍반), 진드기매개뇌염은 4~28일이에요. 잠복기 동안에는 대부분 아무런 증상이 없어요. 따라서 진드기에 물린 경우 물린 날짜와 장소를 기록해 두고, 잠복기 내에 발열·두통·발진·근육통 등 이상 증상이 나타나면 즉시 의료기관을 방문해 진드기 노출 이력을 알려주세요.",https://www.kdca.go.kr,자세히 보기,
57,예방 수칙,진드기 예방,,,,농작업 중 진드기 감염을 예방하려면 어떻게 해야 하나요?,"농작업 중 진드기 감염 예방을 위해 긴 소매·긴 바지·장갑·장화를 착용하고, 바지단을 양말 안으로 넣어 주세요. 작업 전 피부 노출 부위와 옷에 진드기 기피제를 뿌리고, 2~4시간마다 재도포하세요. 풀 위에 앉아 휴식할 때는 반드시 돗자리를 깔아 주세요. 작업 중간 쉬는 시간에도 몸에 진드기가 붙지 않았는지 확인하세요. 귀가 후 즉시 샤워하며 온몸을 점검하고, 작업복은 뒤집어 털고 즉시 세탁하세요. 진드기 활동이 왕성한 9~11월에는 더욱 철저히 예방수칙을 지켜주세요.",https://www.kdca.go.kr,자세히 보기,
58,예방 수칙,진드기 예방,,,,반려동물을 통해 진드기 감염이 될 수 있나요?,"반려동물이 야외에서 진드기를 묻혀 올 수 있어요. 진드기가 반려동물의 털에 붙어 있다가 사람에게 이동해 물 수 있으므로 주의가 필요해요. 반려동물과 야외활동 후에는 반드시 동물의 털을 손가락으로 천천히 훑어 진드기가 붙어있는지 확인하세요. 발견된 진드기는 핀셋으로 조심스럽게 제거하고, 수의사에게 처방받은 진드기 예방약(스팟온·목걸이 등)을 정기적으로 사용하면 효과적이에요. 반려동물 접촉 후 손을 깨끗이 씻는 것도 중요해요.",https://www.kdca.go.kr,자세히 보기,
59,예방 수칙,진드기 예방,,,,진드기 기피제는 어떤 것을 사용해야 하나요?,"진드기 예방에 효과적인 기피제 성분으로는 DEET(디에틸톨루아미드), 이카리딘(피카리딘), IR3535가 있어요. DEET는 가장 광범위하게 연구된 성분으로 진드기와 모기 모두에 효과적이며, 15% 이상 농도에서 수 시간 효과가 지속돼요. 이카리딘은 DEET보다 피부 자극이 적고 어린이·임산부에도 비교적 안전해요. 옷에 뿌리는 퍼메트린 처리 제품도 진드기 예방에 효과적이에요(피부에는 직접 사용 불가). 기피제는 2~4시간마다 재도포하고 귀가 후 씻어 내세요.",https://www.kdca.go.kr,자세히 보기,
60,신고·진료·위험지역,의심 증상 및 신고,,,,야외활동 후 어떤 증상이 나타나면 병원에 가야 하나요?,"야외활동(등산·텃밭·농작업·낚시 등) 후 다음 증상이 나타나면 즉시 의료기관을 방문하세요. ▶ 38℃ 이상의 고열 ▶ 심한 두통·근육통·관절통 ▶ 오심·구토·설사 등 소화기 증상 ▶ 온몸에 붉은 발진 ▶ 피부에 검은 딱지(가피) ▶ 물린 부위 주변의 붉은 발진(이동성 홍반) ▶ 심한 피로감·의식 변화 등이에요. 증상 발현까지 수일~수주가 걸릴 수 있으므로, 활동 후 4주 이내 이상 증상이 생기면 반드시 진드기나 모기에 물린 이력, 야외활동 장소와 날짜를 의사에게 알려주세요.",https://www.kdca.go.kr,자세히 보기,
61,신고·진료·위험지역,의심 증상 및 신고,,,,매개체감염병은 어디서 진료를 받아야 하나요?,"매개체감염병이 의심되면 가까운 의료기관(내과·감염내과)을 방문해 진료를 받으세요. 야외활동 이력, 진드기·모기 노출 여부, 방문 지역, 증상 발생 시점 등을 의료진에게 상세히 알려주시면 진단에 큰 도움이 돼요. 말라리아 위험지역 거주자라면 가까운 보건소에서도 무료로 검사와 진료를 받을 수 있어요. 해외여행 후 감염이 의심되는 경우 국립중앙의료원 중앙감염병병원, 국립검역소, 또는 대학병원 감염내과를 방문하는 것이 좋아요. 증상이 심하거나 응급 상황이라면 119에 신고하거나 응급실을 이용하세요.",https://www.kdca.go.kr,자세히 보기,
62,신고·진료·위험지역,의심 증상 및 신고,,,,의료인이 매개체감염병을 신고하는 방법은 무엇인가요?,"의료인은 매개체감염병 환자(의사환자 포함)를 진단했을 때 법정감염병 신고 의무가 있어요. 신고 방법은 질병보건통합관리시스템(is.cdc.go.kr)에 온라인으로 입력하거나, 팩스·우편으로 관할 보건소에 신고할 수 있어요. 신고 기한은 SFTS·말라리아·뎅기열 등 2급 감염병은 24시간 이내, 쯔쯔가무시증·라임병 등 3급 감염병은 24시간 이내예요. 신고 서식은 질병보건통합관리시스템 또는 질병관리청 홈페이지에서 내려받을 수 있어요. 미신고 시 「감염병의 예방 및 관리에 관한 법률」에 따라 과태료가 부과될 수 있어요.",https://is.cdc.go.kr,자세히 보기,
63,신고·진료·위험지역,의심 증상 및 신고,,,,질병관리청 1339 콜센터는 어떤 경우에 전화하나요?,"질병관리청 1339 콜센터는 24시간 365일 운영되는 감염병 관련 종합 상담 전화예요. ▶ 매개체감염병 의심 증상이 있을 때 ▶ 진드기·모기에 물린 후 어떻게 해야 할지 모를 때 ▶ 해외여행 전 방문 국가 감염병 정보가 필요할 때 ▶ 말라리아 예방약 복용 방법이나 부작용이 궁금할 때 ▶ 가까운 검사 가능 의료기관이나 보건소를 안내받고 싶을 때 등에 이용할 수 있어요. 감염병 신고·의심 신고, 해외 여행 건강 상담도 1339로 하면 된답니다.",https://www.kdca.go.kr,자세히 보기,
64,신고·진료·위험지역,의심 증상 및 신고,,,,매개체감염병 진단 검사는 어디서 받나요?,매개체감염병 의심 시 가까운 의료기관 또는 보건소에서 혈액 검사를 받을 수 있어요. 말라리아 위험지역 보건소에서는 신속진단검사(RDT)를 무료로 받을 수 있어요. SFTS·쯔쯔가무시증 등 진드기매개감염병은 혈액으로 PCR(유전자검출)·항체검사 등을 통해 확진해요. 보건소에서 검체를 채취해 시도 보건환경연구원 또는 질병관리청에 의뢰하는 방식으로 검사가 이루어져요. 뎅기열 등 해외유입 감염병 검사는 국립검역소 또는 국립중앙의료원에서 가능해요. 의심 증상이 있으면 지체하지 말고 의료기관을 방문하세요.,https://www.kdca.go.kr,자세히 보기,
65,신고·진료·위험지역,의심 증상 및 신고,,,,해외여행 후 귀국 시 건강 신고는 어떻게 하나요?,"해외 감염병 유행 국가에서 귀국할 때 공항·항만 입국장 검역대에서 건강 상태 질문서를 작성·제출해 주세요. 발열·기침·설사 등 의심 증상이 있거나, 말라리아·뎅기열 등 감염병 유행 지역을 방문했다면 검역관에게 즉시 알려야 해요. 귀국 후 증상이 없더라도 잠복기(질병마다 다름) 이내에 증상이 생기면 즉시 가까운 의료기관을 방문해 해외여행 이력을 반드시 알려주세요. 자세한 귀국 후 건강 관리 정보는 '해외감염병 NOW'(해외감염병now.kr)에서 확인할 수 있어요.",http://해외감염병now.kr,자세히 보기,
66,신고·진료·위험지역,위험지역 및 발생 동향,,,,국내 말라리아 위험지역 53개 시군구는 어디인가요?,"2024년 기준 국내 말라리아 위험지역은 서울(13개구: 강북·도봉·노원·성북·강서·은평·서대문·마포·종로·중·동대문·성동·광진구), 경기(22개 시군: 고양·파주·김포·양주·동두천·의정부·남양주·구리·하남·광주·성남·수원·안양·부천·광명·시흥·안산·군포·의왕·오산·화성·용인), 인천(10개 구·군: 강화·옹진·계양·부평·남동·연수·미추홀·중·동·서구), 강원(8개 시군: 철원·화천·양구·인제·춘천·홍천·횡성·원주) 등 4개 시·도 내 53개 시군구예요. 위험지역 거주자는 말라리아 의심 증상 발생 시 가까운 보건소를 방문해 주세요.",https://www.kdca.go.kr,자세히 보기,
67,신고·진료·위험지역,위험지역 및 발생 동향,,,,국내 SFTS 다발 지역은 어디인가요?,"SFTS는 작은소참진드기가 서식하는 전국 야산·농촌 지역에서 발생하며, 특정 지역에 집중되기보다 전국에 걸쳐 산발적으로 발생해요. 다만 농작업이 많고 야외 활동이 잦은 경남·전남·경북·충남·강원 등 농촌 지역에서 상대적으로 많이 보고되는 경향이 있어요. 2025년에도 5월~10월 사이에 사망자를 포함한 확진 사례가 지속 보고되고 있어요. 전국 어디서나 야산·풀밭·농경지 활동 시 진드기 예방수칙을 철저히 지키는 것이 가장 중요합니다.",https://www.kdca.go.kr,자세히 보기,
68,신고·진료·위험지역,위험지역 및 발생 동향,,,,매개체감염병 발생 동향은 어디서 확인하나요?,"국내 매개체감염병 발생 동향은 질병관리청 공식 홈페이지(kdca.go.kr)에서 확인할 수 있어요. 질병관리청은 주간 감염병 발생 현황 보고서, 감염병 포털, 감염병 통계 현황 등을 정기 발표하고 있어요. 또한 말라리아의 경우 매개모기 밀도 감시 결과에 따라 '말라리아 주의보·경보'를 발령하며, 이 정보도 질병관리청 홈페이지에서 확인 가능해요. 해외 감염병 유행 정보는 '해외감염병 NOW'(해외감염병now.kr)를 통해 최신 국가별 발생 현황을 확인할 수 있어요.",https://www.kdca.go.kr,자세히 보기,
69,신고·진료·위험지역,위험지역 및 발생 동향,,,,해외 감염병 유행 정보는 어디서 확인하나요?,"해외 감염병 유행 정보는 질병관리청이 운영하는 '해외감염병 NOW'(해외감염병now.kr)에서 국가별·질병별 최신 유행 현황, 여행 주의 정보, 예방수칙을 한눈에 확인할 수 있어요. 외교부 해외안전여행 홈페이지(0404.go.kr)에서도 국가별 감염병 안전 정보를 제공해요. 세계보건기구(WHO)와 미국 CDC 홈페이지도 국제적인 유행 정보를 제공하는 신뢰할 수 있는 출처예요. 여행 전 반드시 이 정보들을 확인하고, 필요한 경우 여행의학 클리닉에서 상담받으세요.",http://해외감염병now.kr,자세히 보기,
70,신고·진료·위험지역,위험지역 및 발생 동향,,,,매개체감염병 주의보·경보는 어떻게 발령되나요?,"질병관리청은 말라리아를 포함한 주요 매개체감염병에 대해 주의보·경보 발령 제도를 운영해요. 말라리아의 경우 위험지역 내 61개 지점에서 매개 얼룩날개모기를 주기적으로 채집·감시하다가, 하루 평균 모기지수가 기준(0.5 이상)을 충족하는 지역이 3개소 이상이면 주의보를, 더 높은 밀도가 확인되면 경보를 발령해요. 경보가 발령되면 해당 지역 주민에게 예방수칙 강화 및 의심 증상 시 즉각 진료 등을 안내해요. 발령 정보는 질병관리청 홈페이지, 보도자료, 지역 보건소 등을 통해 공지돼요.",https://www.kdca.go.kr,자세히 보기,
69,매개체감염병 기본정보,예방수칙,반려동물,,,반려동물과 산책 시 진드기 감염(SFTS)을 예방하려면 어떻게 하나요?,"반려동물 산책 시 진드기 방지 옷을 입히거나 기피제를 사용하고 가급적 풀숲을 피하는 것이 좋아요. 외출 후에는 귀 안쪽, 발가락 사이, 가슴 아랫부분 등 진드기가 잘 붙는 부위를 꼼꼼히 확인해 주세요. 진드기를 발견했다면 맨손으로 만지지 말고 핀셋 등 제거 도구를 사용해 피부에 가깝게 잡아 떼어내야 하며, 제거 후 동물병원 진료를 권장해요.",https://www.kdca.go.kr,자세히 보기,
70,신고·진료·위험지역,말라리아,헌혈,,,말라리아 위험지역을 방문했는데 헌혈이 가능한가요?,"말라리아 국내 헌혈제한지역에 1박 이상 숙박(거주 또는 군복무 포함)한 경우, 1년간 전혈 및 혈소판 성분 헌혈을 할 수 없으며 혈장 성분 헌혈만 가능해요. 말라리아 위험지역에서 벗어난 후 발열 등 의심 증상이 발생하면 즉시 가까운 병원을 찾아 의사에게 방문 이력을 알리고 진료를 받아주세요.",https://bloodinfo.net,혈액관리본부 확인,
71,신고·진료·위험지역,말라리아,진료 및 치료,,,말라리아 약을 먹고 토했는데 다시 먹어야 하나요?,말라리아 약 복용 후 30분 이내에 구토를 했다면 약물이 제대로 흡수되지 않았을 가능성이 있어 다시 복용하는 것을 권장해요. 하지만 복용 후 30분이 지난 이후에 구토했다면 약물이 충분히 흡수된 것으로 보아 다시 드시지 않아도 됩니다. 구토가 심할 경우 의료기관을 방문해 항구토제 처방 등을 상담해 보세요.,https://www.kdca.go.kr,자세히 보기,
72,신고·진료·위험지역,말라리아,진료 및 치료,,,말라리아 치료가 끝났는데도 계속 피곤해요. 후유증인가요?,"말라리아 치료 후에도 수일에서 수주 간 피로감이나 무기력증이 계속되는 경우가 있어요. 이는 감염 기간 동안 발생한 염증에 대한 몸의 자연스러운 회복기 반응일 수 있습니다. 보통 시간이 지나면 호전되지만, 증상이 너무 길어지거나 일상생활이 힘들다면 병원을 다시 방문해 진료를 받아보시는 것이 좋습니다.",https://www.kdca.go.kr,자세히 보기,
73,매개체감염병 기본정보,모기매개감염병,해외유입,,,"해외여행 시 모기매개감염병(뎅기열, 지카 등)을 예방하려면?","여행 전 방문할 국가의 감염병 발생 정보를 미리 확인하세요! 여행 중에는 밝은색 긴팔과 긴바지를 입어 피부 노출을 최소화하고, 모기 기피제를 꼼꼼히 발라주세요. 방충망이나 모기장이 있는 숙소를 이용하는 것도 중요합니다. 귀국 후 2주 이내에 발열, 발진, 두통 등이 나타나면 즉시 1339에 전화하거나 의료기관을 방문해 여행력을 꼭 알려주세요.",https://www.kdca.go.kr,해외감염병NOW,
74,매개체감염병 기본정보,인수공통감염병,개요,,,인수공통감염병이 무엇이고 어떻게 예방하나요?,"인수공통감염병은 사람과 동물 사이에서 서로 전파되는 병원체에 의해 발생하는 감염병이에요. 예방을 위해서는 야생동물이나 유기동물과의 직접적인 접촉을 피하고, 농작업이나 야외 활동 시 오염된 물이나 토양에 피부가 닿지 않도록 장화, 장갑 등 보호장구를 반드시 착용해야 합니다. 작업 후에는 꼭 깨끗하게 샤워해 주세요.",https://www.kdca.go.kr,자세히 보기,
75,신고·진료·위험지역,진드기설치류 매개,진단 및 관리,,,쯔쯔가무시증이나 신증후군출혈열 환자와 접촉해도 괜찮나요?,"네, 괜찮습니다. 쯔쯔가무시증이나 중증열성혈소판감소증후군(SFTS)과 같은 진드기 매개 감염병이나 신증후군출혈열 등 설치류 매개 감염병은 일반적으로 사람 간 직접 전파가 되지 않으므로, 환자를 별도로 격리하거나 접촉자를 따로 관리할 필요는 없어요. (단, 체액 및 혈액 노출은 주의해야 합니다)",https://www.kdca.go.kr,자세히 보기,
76,매개체감염병 기본정보,모기매개감염병,치쿤구니야열,,,치쿤구니야열은 어떻게 감염되고 어떤 증상이 있나요?,"치쿤구니야열은 감염된 숲모기(흰줄숲모기, 이집트숲모기 등)에 물려 감염돼요. 급성 발열과 함께 심한 관절통, 두통, 근육통, 발진 등이 나타납니다. 예방 백신이나 치료제가 없으므로, 유행 지역(동남아, 아프리카 등) 방문 시 모기에 물리지 않는 것이 가장 중요해요!",https://www.kdca.go.kr,해외감염병NOW,
77,매개체감염병 기본정보,모기매개감염병,지카바이러스,,,지카바이러스 감염증 유행 국가에 다녀왔는데 임신을 계획해도 될까요?,"지카바이러스 감염증은 모기뿐만 아니라 성접촉을 통해서도 감염될 수 있으며, 임신부가 감염되면 태아 소두증을 유발할 수 있어요. 발생 국가를 방문한 남녀 모두 귀국 후 최소 3개월간은 임신을 연기하고 콘돔을 사용하거나 금욕해야 합니다.",https://www.kdca.go.kr,자세히 보기,
78,매개체감염병 기본정보,모기매개감염병,웨스트나일열,,,웨스트나일열은 어떤 병인가요? 우리나라에도 있나요?,"웨스트나일열은 감염된 조류의 피를 빤 집모기류에 물려 감염되는 질환이에요. 다행히 아직 국내 발생 사례는 없고 모두 해외(주로 미국, 유럽, 아프리카, 중동) 유입 사례입니다. 약 80%는 무증상이지만, 심하면 뇌염 등을 일으킬 수 있으니 해외여행 시 모기를 조심하세요!",https://www.kdca.go.kr,자세히 보기,
79,신고·진료·위험지역,모기매개감염병,황열,,,아프리카나 중남미 여행 시 황열 예방접종을 꼭 해야 하나요?,"네, 아프리카와 중남미 42개국은 황열 위험국가로, 입국 시 황열 예방접종 증명서를 요구하는 곳이 많아요. 출국 최소 10일 전에는 반드시 국제공인 예방접종기관에서 접종을 받아야 하며, 1회 접종으로 평생 효과가 유지된답니다.",https://www.kdca.go.kr,예방접종기관 찾기,
80,신고·진료·위험지역,모기매개감염병,일본뇌염,,,일본뇌염은 모기에 물리면 다 걸리나요? 예방접종이 필요한가요?,"일본뇌염 바이러스를 가진 작은빨간집모기에 물려도 99% 이상은 무증상이나 가벼운 증상으로 지나가요. 하지만 드물게 급성 뇌염으로 진행될 수 있어 주의가 필요합니다. 소아는 국가예방접종 일정에 맞춰 접종하고, 성인도 위험지역(축사 인근 등) 거주자나 유행국가 여행자라면 예방접종을 권장해요.",https://nip.kdca.go.kr,예방접종도우미,
81,매개체감염병 기본정보,진드기설치류 매개,라임병,,,진드기에 물린 자리에 과녁 모양의 붉은 반점이 생겼어요 (라임병).,참진드기에 물린 뒤 1~3주 후 물린 부위를 중심으로 점점 퍼져나가는 과녁 모양의 붉은 반점(유주성 홍반)이 생겼다면 라임병을 의심해야 해요. 초기에 항생제로 쉽게 치료할 수 있으니 즉시 병원에 방문해 진드기에 물린 사실을 알려주세요!,https://www.kdca.go.kr,자세히 보기,
82,매개체감염병 기본정보,진드기설치류 매개,렙토스피라증,,,홍수나 태풍 직후 복구 작업 시 렙토스피라증을 조심해야 하는 이유는요?,"렙토스피라증은 감염된 동물(주로 쥐)의 소변으로 오염된 물이나 흙이 피부 상처나 점막에 닿아 감염돼요. 수해 복구, 벼 세우기 작업 등을 할 때는 반드시 장화와 고무장갑 등 보호구를 착용해 피부 노출을 막아야 합니다. 작업 후 열이 나면 꼭 진료를 받으세요!",https://www.kdca.go.kr,자세히 보기,
83,신고·진료·위험지역,인수공통감염병,공수병,,,길고양이나 야생 너구리에게 물렸는데 공수병(광견병)에 걸릴 수 있나요?,"네, 개뿐만 아니라 너구리, 오소리, 고양이, 박쥐 등 온혈동물을 통해서도 감염될 수 있어요. 동물에게 물렸다면 즉시 흐르는 물에 비누로 15분 이상 상처를 씻어내고, 바로 병원으로 가서 공수병 백신 및 면역글로불린 투여 등 응급처치를 받아야 합니다.",https://www.kdca.go.kr,자세히 보기,
84,매개체감염병 기본정보,인수공통감염병,유비저,,,동남아 여행 중 흙이나 물을 만진 후 걸릴 수 있는 유비저는 무엇인가요?,"유비저는 열대지역(태국, 베트남 등 동남아)의 오염된 흙이나 고인 물에 피부 상처가 닿거나 호흡기로 흡입하여 감염되는 병입니다. 당뇨, 신장질환 등 기저질환자가 특히 위험하므로, 우기(비가 많이 올 때) 동남아 여행 시 흙이나 웅덩이 물과의 접촉을 피하세요.",https://www.kdca.go.kr,자세히 보기,
85,매개체감염병 기본정보,인수공통감염병,큐열,,,"소, 양, 염소를 키우는 농장에서 큐열을 조심하려면 어떻게 해야 하나요?","큐열은 감염된 가축의 유산·출산 시 배출되는 양수나 태반, 소변 등이 먼지로 섞여 호흡기로 들어와 감염돼요. 가축의 분만이나 유산 처리를 할 때는 반드시 마스크(KF94 이상), 장갑, 장화 등 보호구를 착용해야 합니다. 또한 살균되지 않은 생우유 섭취도 피하세요.",https://www.kdca.go.kr,자세히 보기,
86,매개체감염병 기본정보,진드기설치류 매개,발진열/발진티푸스,,,발진열과 발진티푸스는 진드기 매개 질환인가요?,"아니요, 두 질환 모두 벼룩과 이를 통해 전파돼요. 발진열은 주로 쥐벼룩을 통해, 발진티푸스는 사람의 몸니(louse)를 통해 감염됩니다. 주변에 쥐가 서식하지 못하게 하고 의복 세탁 등 청결한 위생 환경을 유지하는 것이 중요해요.",https://www.kdca.go.kr,자세히 보기,
